sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG01879 ACB AFR 0.000408411482695103 -0.130449295049945 -0.00160854952992765 0.0155109013959876 -0.00160854952979654 0.0861141601399017 0.055057809375 0.05505781 0.0804896875 0.0806271875 0.0027245815625 0.0027245815625 0.001092490625 0.001092490625
HG01880 ACB AFR 0.0179903487114714 -0.110565685809731 0.0196742208225349 -0.00199993798681991 0.0196742208222639 0.00135746152711015 0.0595604734375 0.05956051625 0.090981875 0.091061875 0.00903358 0.00903358 0.00190425625 0.00190425625
HG01882 ACB AFR -0.00705812565841229 -0.138893285320156 -0.00207379658599157 0.0217307974069168 -0.00207379658585638 0.135673828250723 0.0624926540625 0.0624927671875 0.078338125 0.078444375 0.0085287684375 0.008528529375 0.00228385 0.00228385
HG01883 ACB AFR 0.00459547071798713 -0.125714102982261 0.00306816427920498 0.0289874026350813 0.00306816427797048 0.102208921280163 0.0601834890625 0.0602174084375 0.0838765625 0.0839784375 0.0027679346875 0.0027679346875 0.00032251875 0.00032251875
HG01885 ACB AFR -0.00320790795049735 -0.134539031099034 -6.05155388450684e-05 0.0182913633787919 -6.05155389448284e-05 0.128127489231193 0.0595671209375 0.05956635375 0.0781453125 0.0782328125 0.0028796128125 0.0028796128125 0.000744125 0.000744125
HG01886 ACB AFR -0.00606931019759633 -0.137775022868315 -0.00260272570279526 0.0188764645726948 -0.00260272570243058 0.104174091873658 0.0537121821875 0.0537121821875 0.0774921875 0.0776359375 0.0033080496875 0.0033080496875 0.0003406625 0.0003406625
HG01889 ACB AFR -0.00717892641407258 -0.13902990024434 -0.00274298887900162 0.0322088308627549 -0.00274298887858835 0.137765967960944 0.060233655 0.060233655 0.07847 0.0786615625 0.003992865625 0.003992865625 0.00045129375 0.00045129375
HG01890 ACB AFR -0.00239486634284074 -0.133619553261501 -0.000778241507356242 0.0156444296945991 -0.000778241507335272 0.100048436993968 0.0566186875 0.0565839909375 0.0815984375 0.0817 0.0017106228125 0.0017106228125 0.000370353125 0.000370353125
HG01894 ACB AFR 0.00354958127695668 -0.126896911035964 0.000361239881765379 0.0169969145350442 0.00036123988129431 0.122022007385558 0.065730184375 0.0657260421875 0.0820825 0.0822378125 0.0070252315625 0.0070252315625 0.00191580625 0.00191580625
HG01896 ACB AFR 0.00946076492056129 -0.120211887412732 0.00713237176671889 0.0278599811312412 0.00713237176480796 0.148792958253685 0.0669969940625 0.0669977115625 0.0878353125 0.087961875 0.0075341021875 0.0075341021875 0.002794425 0.002794425
HG01912 ACB AFR 0.0104114143455322 -0.119136787357222 0.0131534006923552 0.0145691357108517 0.0131534006910707 0.129743213557409 0.0721725065625 0.072172539375 0.0885784375 0.088574375 0.0199192403125 0.0199192403125 0.00842465625 0.00842465625
HG01914 ACB AFR 0.00922441561600815 -0.120479177481779 0.00572947546875467 0.0264840745886961 0.00572947546975531 0.0979287320604321 0.0586800871875 0.0586800871875 0.085189375 0.0853996875 0.0028433846875 0.0028433846875 0.000378234375 0.000378234375
HG01915 ACB AFR 0.000692730942391702 -0.130127754996507 -0.00520141349934097 0.0189160575959873 -0.00520141349772755 0.115056206647705 0.05631062875 0.0563109925 0.0810353125 0.081136875 0.000468093125 0.000468093125 0 0
HG01956 ACB AFR -0.00538862420048657 -0.137005227469451 0.0013156612854551 0.0218630532014198 0.00131566128476902 0.126935537782892 0.06246103875 0.06246104625 0.0809153125 0.08094125 0.0068233953125 0.0068233953125 0.000934 0.000934
HG01958 ACB AFR -0.00210599497061013 -0.13329286539933 -0.00443959685070049 0.00523902349981949 -0.00443959684977582 0.092535848171426 0.054350285625 0.0543507996875 0.0811603125 0.0812496875 0.00206840625 0.00206840625 0.001146603125 0.001146603125
HG01985 ACB AFR -0.00157412149859207 -0.132691363747654 -0.000713676254720793 0.027576774754204 -0.000713676254898963 0.121436568197934 0.0570599640625 0.0570599640625 0.081036875 0.0810559375 0.000762130625 0.000762130625 0 0
HG01986 ACB AFR 0.00358739716568651 -0.126854144624914 0.00677377676183733 0.0130166109550027 0.00677377675991439 0.109765981585063 0.064923833125 0.0648924921875 0.08476625 0.08489 0.0070148859375 0.0070148859375 0.0014661375 0.0014661375
HG01988 ACB AFR 0.0432860269465613 -0.0819585206863345 0.0431886014182186 0.00812077905305671 0.0431886013993358 0.0344793908125195 0.0730787346875 0.073080914375 0.107970625 0.1081053125 0.0045920425 0.0045920425 0.0015196 0.0015196
HG01989 ACB AFR 0.0189494016672708 -0.109481082107318 0.0103055944607934 0.027924963712183 0.0103055944597896 0.102429901617103 0.064571370625 0.0645726246875 0.0891309375 0.0891871875 0.0054902765625 0.0054902765625 0.00107135625 0.00107135625
HG01990 ACB AFR -0.00293794452263015 -0.134233726442388 -0.00263806769315969 0.026739440236519 -0.00263806769274333 0.119080747758135 0.057785130625 0.057784126875 0.078025625 0.0782753125 0.00353609875 0.00353609875 0 0
HG02009 ACB AFR -0.00152440060785744 -0.132635133836831 0.0021976742046576 0.00628963725085334 0.00219767420382342 0.0973475428870694 0.0589090825 0.05890888 0.0815009375 0.08174875 0.0013473040625 0.0013473040625 0 0
HG02010 ACB AFR 0.00164618154430545 -0.129049487058703 0.00648253229322683 0.0198289062056974 0.00648253229578724 0.0962727897459772 0.0635459490625 0.0635458934375 0.085486875 0.0856340625 0.00624803625 0.00624803625 0.00074470625 0.000744690625
HG02012 ACB AFR 0.00257617228932482 -0.127997750135156 0.00100192723498519 0.0100711357109772 0.00100192723426422 0.124375505336266 0.0598125 0.059812416875 0.081195625 0.08118375 0.00281538 0.00281538 0.00113629375 0.00113629375
HG02013 ACB AFR -0.00416836149476971 -0.13562521874259 -0.000466506036386913 0.028378926234663 -0.000466506036389765 0.138746005368685 0.058797829375 0.0587984 0.07901125 0.0790765625 0.00244995125 0.00244995125 0 0
HG02014 ACB AFR -0.00620761830914709 -0.137931437056867 -0.00364190914530625 0.0178522795566971 -0.00364190914456169 0.102404153670719 0.05565021375 0.05565030625 0.077810625 0.078003125 0.00299425625 0.00299425625 0.00044281875 0.00044281875
HG02051 ACB AFR 0.00121690117781772 -0.129534965021151 0.00122100760330897 0.0315109793588301 0.00122100760261214 0.146521594450324 0.0624202634375 0.0624202603125 0.0833909375 0.0834603125 0.002987916875 0.002987916875 0.0015926125 0.0015926125
HG02052 ACB AFR 0.00318542827439069 -0.127308735734941 0.00173403237357417 0.0305846793213813 0.00173403237293746 0.145765603451071 0.0611865734375 0.061186983125 0.08105875 0.081141875 0.004304930625 0.004304930625 0.00071814375 0.00071814375
HG02053 ACB AFR -0.00744188689958117 -0.139327285195233 -0.00263234815126768 0.0191020348255601 -0.00263234815033878 0.121931946437262 0.059280020625 0.05928014 0.0778284375 0.077881875 0.004616023125 0.004616023125 0.001551034375 0.001551034375
HG02054 ACB AFR 0.00595894359490698 -0.124172136272814 0.00307211372688608 0.0183417573766481 0.00307211372564069 0.104587341501776 0.060285959375 0.0602852953125 0.084169375 0.08441 0.0056114440625 0.0056114440625 0.001472775 0.001472775
HG02095 ACB AFR -0.000722213560853943 -0.131727931543214 -0.00278500941183304 0.0184531807844142 -0.0027850094114178 0.122772553355561 0.05816076375 0.0581607684375 0.0807096875 0.0807928125 0.0015040725 0.0015040725 0.00073995 0.00073995
HG02107 ACB AFR -0.0122585106527724 -0.144774458809802 -0.00452754018292563 0.0258736937813651 -0.00452754018178377 0.134224019773951 0.0544682159375 0.0544682159375 0.07205625 0.0722109375 0.0018074753125 0.0018074753125 0.000321653125 0.000321653125
HG02108 ACB AFR 0.0152637531047469 -0.113649223243329 0.0161225949204885 0.0114132609267028 0.0161225949194092 0.100642660609445 0.0670645740625 0.067064071875 0.093920625 0.09399125 0.0034394925 0.0034394925 0.001802525 0.001802525
HG02111 ACB AFR -0.00343690416557365 -0.134798005477041 -0.00531569673504772 0.017631488769078 -0.00531569672999619 0.117779522272766 0.0569806575 0.0569819971875 0.0790740625 0.0792665625 0.0049157703125 0.0049157703125 0.001769534375 0.001769534375
HG02143 ACB AFR 0.00828672163439673 -0.121539626081654 0.00710807391574798 0.0171379975992583 0.00710807391453729 0.0915931988362163 0.0560308059375 0.056030710625 0.0825234375 0.0825603125 0.0018738209375 0.0018738209375 0.00077726875 0.00077726875
HG02144 ACB AFR -0.00386898570900422 -0.13528665132179 -0.00233300016224307 0.0198325505308822 -0.00233300016177043 0.123323666429641 0.056880183125 0.0568801759375 0.0769159375 0.077098125 0.002218216875 0.002218216875 0.001939959375 0.001939959375
HG02255 ACB AFR 0.0104128149340051 -0.119135203416072 0.00104285888617732 0.0196703438095989 0.00104285888581654 0.121722529036885 0.0579572228125 0.0579572253125 0.0827771875 0.082950625 0.002508538125 0.002508538125 0 0
HG02256 ACB AFR 0.00867643537656952 -0.121098894456686 0.00532281171215639 0.00437393428523858 0.00532281171076123 0.0724685301008987 0.0591381809375 0.0591382465625 0.0857084375 0.0856953125 0.0049668809375 0.0049668809375 0.001050103125 0.001050103125
