sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG00403 CHS EAS 0.0118665854209653 0.213143575028541 -0.00215675068752907 0.0119205660764011 -0.00217014158087319 0.0903743419141066 0.2157278028125 0.21572907 0.2603453125 0.2605559375 0.012531518125 0.012531518125 0.0047618125 0.0047618125
HG00404 CHS EAS 0.011448374724561 0.212810551401775 -0.000995558580117919 0.0134638664896765 -0.00100173983145216 0.0939101676067017 0.219686794375 0.2196865734375 0.2621025 0.26231625 0.0145495546875 0.0145495546875 0.0044266875 0.0044266875
HG00406 CHS EAS 0.00653328016660291 0.208896632820326 -0.00325793717633438 0.0147280286095254 -0.00327816514557752 0.0927148576205756 0.21536762875 0.215367639375 0.2612296875 0.26149375 0.0161297446875 0.0161298075 0.00860634375 0.00860634375
HG00407 CHS EAS -0.000525082050680541 0.203276017649837 -0.00479751451723674 0.0110739293329808 -0.00482730145609717 0.0902829837695272 0.207327765 0.20732776625 0.2538240625 0.253938125 0.009985234375 0.009985234375 0.0024689375 0.0024689375
HG00409 CHS EAS 0.00737467433820038 0.209566639926741 0.00243097210910216 0.015506055274626 0.00244606559504763 0.0967566947341826 0.21108630375 0.2110865990625 0.2618528125 0.2620253125 0.0118579234375 0.0118579234375 0.0044045625 0.00443596875
HG00410 CHS EAS -0.0089265918196713 0.196585846217873 -0.00377962636930992 0.0125992789493328 -0.00380309341741507 0.0879553902006531 0.2005616228125 0.2005633375 0.245388125 0.245571875 0.014103759375 0.014103759375 0.00518684375 0.00518684375
HG00419 CHS EAS -0.00138636733744506 0.202590171131923 -0.00294811159325143 0.010304314392144 -0.00296641591018302 0.0918376270913529 0.20825966875 0.2082918790625 0.2551115625 0.2552490625 0.0130800603125 0.0130800603125 0.0049405625 0.0049405625
HG00421 CHS EAS 0.0194346574644235 0.219170075118699 0.0138354305407445 0.012357913750258 0.0139213323428784 0.10651800518727 0.212872295625 0.2128721003125 0.258958125 0.2592434375 0.0147173584375 0.0147173584375 0.00760596875 0.00760596875
HG00422 CHS EAS 0.00792018817167677 0.210001035787106 0.000810775919607457 0.0138259690746306 0.000815809887532293 0.0969058792665523 0.2066305671875 0.2066335453125 0.2546328125 0.2548871875 0.0103055171875 0.0103055171875 0.004194875 0.004194875
HG00428 CHS EAS 0.00955026505967673 0.211299075559462 0.00135995534416465 0.0117051258189005 0.00136839907176375 0.0956726878588874 0.208230309375 0.2082297940625 0.2552203125 0.2555334375 0.012223919375 0.012223919375 0.00389875 0.00389875
HG00436 CHS EAS 0.0160775345019827 0.21649677844292 -0.00108540701045602 0.0124427355638195 -0.00109214611593513 0.0931326073382295 0.2154527359375 0.2154521346875 0.2641346875 0.264278125 0.013261163125 0.013261163125 0.00530496875 0.005341375
HG00437 CHS EAS 0.000106958133775071 0.203779314950222 -0.00281147920355526 0.00879338429017961 -0.00282893519302105 0.0924102566040756 0.207417008125 0.2074175178125 0.254309375 0.2544909375 0.008485161875 0.008485161875 0.00363503125 0.00363503125
HG00442 CHS EAS 0.0063542601300946 0.208754078116834 0.00301318247576175 0.0235974581484331 0.00303189080550967 0.0986206330850583 0.2093771628125 0.2093778909375 0.2582390625 0.25870125 0.0145873334375 0.0145873334375 0.0062619375 0.0062841875
HG00443 CHS EAS -0.000200856873445753 0.203534200057276 -0.00144294494234411 0.0292602554741072 -0.00145190393855524 0.0918356388268377 0.2084663259375 0.2084655515625 0.2542509375 0.254365625 0.0123976928125 0.0123976928125 0.00500903125 0.00500903125
HG00445 CHS EAS -0.00401497820686872 0.200496992902309 -0.00419453783559758 0.010756698625924 -0.0042205809972341 0.0894014861431027 0.2040189984375 0.204018678125 0.2481953125 0.2483190625 0.0117386215625 0.0117386215625 0.00507703125 0.00507703125
HG00446 CHS EAS 0.00521897473189349 0.207850043705518 -0.00070618425182849 0.0177953836860394 -0.000710568828181698 0.0938261616119178 0.206880289375 0.2068801684375 0.25414 0.2542121875 0.0116896965625 0.0116896965625 0.00526365625 0.00526365625
HG00448 CHS EAS 0.00599124727828201 0.208465008856974 0.00758296857291315 0.0105628192148662 0.00763004991683374 0.0973533349531011 0.2104642559375 0.2104647915625 0.2568575 0.257051875 0.0121902078125 0.0121902078125 0.005282125 0.005282125
HG00449 CHS EAS 0.0147080312226815 0.2154062349612 0.0102321096423718 0.0146851645570264 0.0102956390461687 0.102378700721416 0.2145974003125 0.2145974359375 0.264545 0.2647521875 0.014644939375 0.014644939375 0.0083363125 0.0083363125
HG00451 CHS EAS 0.0148040058533661 0.215482660121685 0.0034350509439595 0.0134742186252275 0.00345637858173966 0.0977520492129333 0.2187797634375 0.21877975125 0.2603859375 0.260526875 0.015037486875 0.015037486875 0.006137375 0.006137375
HG00452 CHS EAS -0.000209310597392413 0.203527468307386 -0.00195737096342863 0.0132806533050728 -0.00196952394173773 0.0915609557342408 0.2142114878125 0.2142111896875 0.257188125 0.257530625 0.0137500546875 0.0137500546875 0.00647425 0.00647425
HG00457 CHS EAS -0.000470381483970538 0.203319576031463 -0.00554982080753268 0.010069468888978 -0.00558427868621923 0.0917802345786275 0.2148654034375 0.2148653034375 0.2597275 0.2597990625 0.0150573278125 0.0150573278125 0.00430909375 0.00430909375
HG00458 CHS EAS 0.00367741330639018 0.206622489314326 -0.00147821982413951 0.0155107836116117 -0.00148739783620061 0.0928348643316408 0.2134916834375 0.213491526875 0.2576790625 0.257885 0.01084625375 0.01084625375 0.0051229375 0.0051229375
HG00463 CHS EAS 0.0169592081817937 0.21719886035762 0.00343743710457035 0.0115936879428479 0.00345877955768073 0.0984927704356149 0.220130895 0.2201309128125 0.26249875 0.2627315625 0.018786993125 0.018786993125 0.00717475 0.00717509375
HG00464 CHS EAS 0.0108471657686159 0.212331805189209 0.00755046108372557 0.010305565695668 0.00759734059476241 0.100393147174046 0.2171491459375 0.217149260625 0.2624234375 0.262715625 0.0142106771875 0.0142106771875 0.006025625 0.006025625
HG00472 CHS EAS 0.00255107891001508 0.205725582638188 -0.00157927906380454 0.0150811864906059 -0.00158908453372459 0.0935863340458578 0.2060885434375 0.2060890925 0.250895625 0.251071875 0.0159187584375 0.0159187584375 0.00452521875 0.00453575
HG00473 CHS EAS -0.00447396568936349 0.200131498481964 -0.00112070559664566 0.0123257022022515 -0.00112766386433488 0.0939333344472496 0.212786176875 0.2127547446875 0.2567678125 0.2569925 0.023915653125 0.023915653125 0.01212665625 0.01212665625
HG00475 CHS EAS 0.0022154163415599 0.205458292569141 0.00196457448563952 0.00976919771666527 0.00197677218914917 0.0946426576990059 0.2019070915625 0.201907149375 0.251895 0.2520559375 0.0108387734375 0.0108387734375 0.002683990625 0.002683990625
HG00476 CHS EAS 0.0114836814539857 0.212838666357183 0.00609129123593464 0.0146853296587321 0.00612911101201188 0.0992765626558479 0.2192610178125 0.21926092 0.257400625 0.25759875 0.0150281715625 0.0150281715625 0.00645234375 0.00645234375
HG00478 CHS EAS 0.0135463900968841 0.214481213329647 0.00183119047408704 0.0144026336321742 0.00184256001911889 0.0990822587547676 0.2116396153125 0.2116392525 0.2566115625 0.256834375 0.0154823765625 0.0154823765625 0.0060614375 0.0060614375
HG00479 CHS EAS -0.00103578643261399 0.202869340759599 -0.00492494201493738 0.0144940736608183 -0.00495552013030767 0.0887603749163522 0.2064370378125 0.2064377271875 0.2534196875 0.25364625 0.0101934790625 0.0101934790625 0.002641578125 0.00264158125
HG00500 CHS EAS 0.0150849678551113 0.215706391809113 0.00539564342168021 0.0121011042717815 0.00542914404133157 0.0990040076548014 0.2164725890625 0.2164731415625 0.2627865625 0.2629903125 0.014319250625 0.014319250625 0.00663859375 0.00663859375
