sample pop cont Fas.c Fas.w Funi.un.c Funi.un.w Funi.we.c Funi.we.w FROHs.BCFTools.100KB.c FROHs.BCFTools.100KB.w FROHs.PLINK.100KB.c FROHs.PLINK.100KB.w FROHs.BCFTools.1MB.c FROHs.BCFTools.1MB.w FROHs.PLINK.1MB.c FROHs.PLINK.1MB.w
HG00096 GBR EUR 0.00602624423811812 0.153630550187944 -0.00174267833718222 0.00729510811221806 -0.00174267833755217 0.0539129994731611 0.175762145625 0.1757617009375 0.2302815625 0.2303609375 0.015456995625 0.015456995625 0.00742525 0.00742525
HG00097 GBR EUR 0.00632387235955582 0.153883980771931 0.00712241235524015 0.00537117517375859 0.00712241235572107 0.0624542475495739 0.1813773571875 0.181379038125 0.23296625 0.2332209375 0.009986233125 0.009986233125 0.00542665625 0.0054266875
HG00099 GBR EUR 0.0112593836920978 0.158086572627953 0.00157801330754622 0.0074549948569827 0.00157801330762365 0.0585957806221429 0.1801473890625 0.1801783678125 0.23195625 0.2320834375 0.0123726121875 0.0123726121875 0.0083385 0.0083385
HG00100 GBR EUR 0.00418978572005571 0.152066804287685 0.00701560897276146 0.00901580147462265 0.00701560897364977 0.0618711205696422 0.1750247303125 0.17502495125 0.2289628125 0.229170625 0.009633863125 0.009633863125 0.0030257875 0.00335953125
HG00101 GBR EUR 0.00662243056887438 0.154138203326493 -0.000539169278293612 0.00702870723664576 -0.000539169278436175 0.0544784979652684 0.180465148125 0.180505058125 0.230004375 0.2300859375 0.016438720625 0.016438720625 0.00550725 0.00550725
HG00102 GBR EUR 0.0119881075456807 0.158707081573429 0.0011510913001039 0.00821852381877054 0.00115109130106931 0.0564280629758618 0.1797807434375 0.17978024125 0.2353253125 0.23570625 0.01533973625 0.01533973625 0.00983028125 0.00984803125
HG00103 GBR EUR 0.0147327968780721 0.161044186740134 0.00933742870923085 0.0120062013946842 0.00933742870919916 0.064904657498772 0.1862271021875 0.186225564375 0.2358471875 0.2361109375 0.0176801734375 0.0176801734375 0.0077445 0.0077445
HG00105 GBR EUR 0.00525008590267978 0.152969650743137 0.000308039144920958 0.00805816172453736 0.000308039144798138 0.0552316568343587 0.1816445909375 0.181644456875 0.2333365625 0.2335828125 0.01463889625 0.01463889625 0.006064875 0.006064875
HG00106 GBR EUR 0.00679449682658054 0.154284717882861 -0.00278945235739906 0.00526259714759104 -0.0027894523576245 0.0550159415230877 0.179114226875 0.179114204375 0.2271571875 0.2273228125 0.0143492471875 0.0143492471875 0.00398846875 0.0039885
HG00107 GBR EUR 0.0180997150018452 0.163911120221488 0.00493909968359456 0.00579761596755644 0.00493909968457579 0.0630490994376563 0.183642705 0.1836427265625 0.2354546875 0.2355809375 0.01675226625 0.01675226625 0.0082468125 0.0082468125
